Date,Close/Last,Volume,Open,High,Low
04/25/2022,$186.99,29281060,$182.73,$187.18,$181.655
04/22/2022,$184.11,36426770,$190.37,$192.72,$183.27
04/21/2022,$188.07,49954080,$201.6,$202.965,$185.58
04/20/2022,$200.42,43036530,$213.605,$214.16,$198.92
04/19/2022,$217.31,20089870,$210.52,$218.4299,$209
04/18/2022,$210.77,16580790,$210,$213.38,$208.3
04/14/2022,$210.18,18379460,$214.89,$214.99,$210
04/13/2022,$214.99,19231820,$211.82,$216.61,$211.33
04/12/2022,$214.14,20128830,$220.235,$222.03,$213.13
04/11/2022,$216.46,20516590,$218.42,$220.61,$215.2198
04/08/2022,$222.33,18375710,$222.38,$225.13,$220.0283
04/07/2022,$222.95,21037190,$223.93,$225.52,$218.56
04/06/2022,$223.3,28995080,$226.91,$228.9899,$221.405
04/05/2022,$231.84,29727180,$234.08,$236.86,$231.02
04/04/2022,$233.89,28100830,$225.98,$234.351,$225.86
04/01/2022,$224.85,19544760,$224.55,$227.28,$222.7
03/31/2022,$222.36,24192270,$228.45,$228.49,$222.26
03/30/2022,$227.85,25588050,$228.91,$231.151,$226.71
03/29/2022,$229.86,31417860,$226.07,$230.89,$225.29
03/28/2022,$223.59,26224140,$222.13,$224.04,$219.54
03/25/2022,$221.82,40039030,$220.51,$225.5,$218.8901
03/24/2022,$219.57,31502310,$215,$220.67,$214.79
03/23/2022,$213.46,23717320,$213.33,$216.7988,$212.16
03/22/2022,$216.65,31998800,$211.37,$219.46,$210.18
03/21/2022,$211.49,30142340,$214.5,$214.71,$207.63
03/18/2022,$216.49,52127980,$206.7,$216.8,$206
03/17/2022,$207.84,29499680,$201.7,$208.04,$201.11
03/16/2022,$203.63,40640260,$194.7,$203.73,$194.52
03/15/2022,$192.03,31721680,$190.8,$192.28,$185.911
03/14/2022,$186.63,31010460,$187.03,$192.29,$185.82
03/11/2022,$187.61,34694530,$192.635,$193.56,$186.67
03/10/2022,$195.21,24852980,$194.84,$196.28,$191.068
03/09/2022,$198.5,31894700,$195.74,$199.1,$193.92
03/08/2022,$190.29,37508150,$187.85,$196.7,$186.11
03/07/2022,$187.47,38560610,$200.79,$200.89,$187.28
03/04/2022,$200.06,32146260,$202.37,$205.89,$198.79
03/03/2022,$202.97,27263520,$209.015,$209.08,$201.42
03/02/2022,$208.11,29452150,$204.775,$209.15,$202.02
03/01/2022,$203.49,27094900,$209.87,$211.7517,$202.22
02/28/2022,$211.03,34239800,$207.675,$213.1508,$206.83
02/25/2022,$210.48,37627550,$204.94,$211.32,$203.18
02/24/2022,$207.6,49957170,$191.06,$208.35,$190.22
02/23/2022,$198.45,44481360,$204.16,$206.94,$198.05
