Date,Close/Last,Volume,Open,High,Low
04/25/2022,$51.94,18677040,$51.45,$51.98,$50.54
04/22/2022,$51.36,17692980,$52.92,$52.96,$51.29
04/21/2022,$52.78,17147260,$53.34,$53.83,$52.73
04/20/2022,$53.02,19526240,$52.22,$53.67,$52.15
04/19/2022,$51.83,15490880,$51,$51.935,$50.92
04/18/2022,$51.11,13990700,$50.88,$51.56,$50.8
04/14/2022,$51.17,18024830,$52.08,$52.38,$51.1207
04/13/2022,$52.15,17004590,$51.84,$52.36,$51.405
04/12/2022,$51.82,25254240,$51.7,$52.9501,$51.48
04/11/2022,$52.88,20992060,$53.92,$53.95,$52.785
04/08/2022,$54.28,18148380,$54.84,$54.91,$54.01
04/07/2022,$54.63,15738990,$54.43,$54.85,$53.735
04/06/2022,$54.37,19644090,$54.69,$54.76,$53.8432
04/05/2022,$54.92,16063610,$55.2,$55.59,$54.665
04/04/2022,$55.87,19645620,$55.46,$56.12,$54.99
04/01/2022,$55.66,17465150,$56.17,$56.19,$54.885
03/31/2022,$55.76,27587690,$56.04,$56.88,$55.72
03/30/2022,$56.05,16125420,$55.75,$56.94,$55.59
03/29/2022,$55.67,20036470,$55.67,$56.3138,$55.04
03/28/2022,$55.14,17164620,$54.8,$55.16,$54.42
03/25/2022,$54.97,18092380,$54.605,$55.18,$54.395
03/24/2022,$54.5,20551510,$54.67,$54.69,$53.68
03/23/2022,$54.48,19742130,$55.9,$56.09,$54.45
03/22/2022,$56.17,29287850,$56.36,$56.72,$56.09
03/21/2022,$56,29174580,$56.06,$56.545,$55.52
03/18/2022,$55.97,51807230,$56.03,$56.42,$55.54
03/17/2022,$56.17,18830690,$55.49,$56.3,$55.35
03/16/2022,$55.81,21821810,$55.93,$56,$54.6
03/15/2022,$55.6,18829100,$54.42,$55.725,$54.42
03/14/2022,$54.3,17977520,$54.73,$55.4,$53.995
03/11/2022,$54.69,20330310,$55.29,$56.21,$54.6
03/10/2022,$54.71,18550930,$54.4,$55.16,$53.97
03/09/2022,$55.92,19150860,$55.64,$56.245,$55.25
03/08/2022,$54.4,23642380,$55.7,$55.86,$54.0701
03/07/2022,$55.59,21350920,$56.31,$56.44,$55.52
03/04/2022,$56.51,16731550,$55.67,$56.895,$55.25
03/03/2022,$56.07,16794590,$56.74,$57,$55.835
03/02/2022,$56.15,18660050,$54.77,$56.38,$54.71
03/01/2022,$54.62,17799610,$55.53,$55.85,$54.26
02/28/2022,$55.77,23868700,$55.41,$56,$54.75
02/25/2022,$56.04,18963680,$54.98,$56.22,$54.49
02/24/2022,$54.73,27739340,$54.07,$54.83,$53.21
02/23/2022,$54.44,22033660,$56.61,$56.99,$54.37
02/22/2022,$56.3,25188340,$56.93,$57.14,$55.735
02/18/2022,$57.21,35626150,$55.46,$57.69,$55.38
02/17/2022,$55.77,32884670,$55.5,$57.06,$55.4
02/16/2022,$54.25,20388670,$54.13,$54.44,$53.385
02/15/2022,$54.27,17680360,$53.716,$54.3,$53.64
02/14/2022,$53.18,21868420,$53.41,$53.65,$52.7
